real_name,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1799,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:84_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:69_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:54_idx1:0_idx2:1249,pname:wel_inst:0_ptype:gr_usecol:3_pstyle:d_idx0:39_idx1:0_idx2:1249,ar_rate_1,ar_rate_2,real_name,mean_conc,salinity,total_pump_rate,ar_rate_total,wetland_dd,ar_rate_t,pf_salinity,pf_wetland_dd,mean_conc_sd,salinity_sd,ar_rate_total_sd,wetland_dd_sd
gen=0_member=82,-4.4657,-2.95393,-0.623436,-3.19744,-0.488768,-4.41121,-0.187266,-2.83602,1.74213,5.50357,gen=0_member=82,5.39e-05,5.39e-05,19.1638,7.2457,2.94405,7.2457,1,1,0,0,0,0
gen=0_member=83,-4.59652,-3.4521,-1.69536,-1.21585,-2.71422,-4.36205,-1.51752,-0.136381,5.38403,2.11012,gen=0_member=83,0.00026786,0.00026786,19.69,7.49415,3.04325,7.49415,1,1,0,0,0,0
gen=0_member=84,-1.28735,-0.556613,-3.32853,-0.747355,-4.35213,-0.81271,-3.98509,-0.472714,2.33989,5.13011,gen=0_member=84,8.34e-05,8.34e-05,15.5425,7.46999,2.01205,7.46999,1,1,0,0,0,0
gen=0_member=85,-2.15338,-3.92009,-2.72184,-2.09571,-1.87585,-0.933689,-4.60299,-2.33604,0.357888,6.23122,gen=0_member=85,8.46e-06,8.46e-06,20.6396,6.58911,3.49105,6.58911,1,1,0,0,0,0
gen=0_member=87,-1.53044,-2.07929,-3.90378,-2.43814,-1.72506,-3.39355,-1.26982,-3.86931,2.85494,1.29728,gen=0_member=87,0.000101195,0.000101195,20.2094,4.15223,3.99975,4.15223,1,1,0,0,0,0
gen=0_member=88,-3.42578,-3.30927,-2.50023,-2.39474,-0.046778,-2.84766,-2.71263,-0.346837,4.71079,1.74457,gen=0_member=88,0.00011735,0.00011735,17.5839,6.45536,2.75265,6.45536,1,1,0,0,0,0
gen=0_member=89,-4.17842,-0.632314,-1.75898,-2.71677,-2.30885,-1.40176,-3.26321,-3.74483,0.295189,6.05524,gen=0_member=89,2.59e-06,2.59e-06,20.0051,6.35043,3.39845,6.35043,1,1,0,0,0,0
gen=0_member=90,-4.45572,-1.27134,-4.63391,-1.41087,-2.40835,-4.25423,-0.550607,-1.24292,1.02174,6.56181,gen=0_member=90,5.63e-07,5.63e-07,20.2279,7.58355,3.11465,7.58355,1,1,0,0,0,0
gen=0_member=91,-0.598349,-2.77492,-4.74487,-0.24966,-4.72022,-3.76007,-2.48844,-0.698966,3.71277,2.84318,gen=0_member=91,0.0,0.0,20.0355,6.55595,3.39365,6.55595,1,1,0,0,0,0
gen=0_member=92,-1.01507,-0.0148437,-2.90149,-4.65693,-3.69869,-0.710298,-2.4301,-1.15993,6.74479,4.33475,gen=0_member=92,0.0,0.0,16.5873,11.0795,-5.1999999999999995e+39,11.0795,1,1,0,0,0,0
